status,loan_amount,annual_income,purpose,home_ownership
Charged Off,2500,30000,major_purchase,RENT
Charged Off,5600,40000,small_business,OWN
Charged Off,5375,15000,other,RENT
Charged Off,9000,30000,debt_consolidation,RENT
Charged Off,10000,100000,other,RENT
Charged Off,21000,105000,debt_consolidation,RENT
Charged Off,6000,76000,major_purchase,RENT
Charged Off,15000,60000,debt_consolidation,RENT
Charged Off,5000,50004,other,RENT
Charged Off,5000,100000,debt_consolidation,MORTGAGE
Default,15000,80000,debt_consolidation,MORTGAGE
Charged Off,12000,50000,major_purchase,RENT
Charged Off,21000,50000,debt_consolidation,RENT
Charged Off,12500,30000,debt_consolidation,RENT
Charged Off,8200,75000,small_business,RENT
Charged Off,6400,75000,debt_consolidation,RENT
Charged Off,17500,45000,credit_card,MORTGAGE
Charged Off,6200,25000,debt_consolidation,RENT
Charged Off,18825,38000,debt_consolidation,RENT
Charged Off,10000,75000,credit_card,RENT
Charged Off,19750,45000,debt_consolidation,RENT
Charged Off,28000,52000,debt_consolidation,RENT
Charged Off,24000,90000,home_improvement,MORTGAGE
Charged Off,11100,41000,credit_card,RENT
Charged Off,12000,42000,debt_consolidation,RENT
Charged Off,10000,60000,debt_consolidation,RENT
Charged Off,13475,25000,credit_card,RENT
Charged Off,5600,85000,debt_consolidation,MORTGAGE
Charged Off,2500,12000,debt_consolidation,OWN
Charged Off,10000,65000,small_business,RENT
Charged Off,7750,24000,debt_consolidation,RENT
Charged Off,20000,70000,debt_consolidation,RENT
Charged Off,21000,60000,debt_consolidation,RENT
Charged Off,15000,42000,debt_consolidation,RENT
Charged Off,15000,75000,debt_consolidation,RENT
Charged Off,16000,58500,debt_consolidation,RENT
Charged Off,12000,70000,other,MORTGAGE
Charged Off,13650,86000,debt_consolidation,MORTGAGE
Charged Off,10500,30000,debt_consolidation,RENT
Charged Off,15075,35000,debt_consolidation,RENT
Charged Off,9500,52500,other,MORTGAGE
Charged Off,26000,53000,home_improvement,MORTGAGE
Charged Off,7000,69600,credit_card,MORTGAGE
Charged Off,10000,70000,credit_card,RENT
Charged Off,4000,25000,debt_consolidation,RENT
Charged Off,10000,39000,credit_card,RENT
Charged Off,12000,80000,other,RENT
Charged Off,16000,35000,small_business,RENT
Charged Off,11875,25920,debt_consolidation,RENT
Charged Off,14000,45600,debt_consolidation,OWN
Charged Off,8000,50000,credit_card,RENT
Charged Off,30000,70000,small_business,RENT
Charged Off,18000,40000,home_improvement,OWN
Charged Off,20000,59000,debt_consolidation,OWN
Charged Off,9000,60000,credit_card,RENT
Charged Off,20000,78216,debt_consolidation,OWN
Charged Off,5000,30000,debt_consolidation,RENT
Charged Off,12000,55000,debt_consolidation,RENT
Charged Off,10000,32000,credit_card,RENT
Charged Off,24000,116400,major_purchase,MORTGAGE
Charged Off,12000,57200,debt_consolidation,RENT
Charged Off,10000,35000,debt_consolidation,RENT
Charged Off,9750,35000,debt_consolidation,RENT
Charged Off,8875,35360,debt_consolidation,MORTGAGE
Charged Off,12000,32000,debt_consolidation,RENT
Charged Off,15000,30000,debt_consolidation,OWN
Charged Off,8050,36000,debt_consolidation,RENT
Charged Off,6000,30084,debt_consolidation,RENT
Charged Off,1500,17000,other,RENT
Charged Off,20000,75000,debt_consolidation,RENT
Charged Off,1000,18408,major_purchase,RENT
Charged Off,8500,50000,debt_consolidation,RENT
Charged Off,18000,40000,debt_consolidation,RENT
Charged Off,14400,51871,debt_consolidation,RENT
Charged Off,3000,86004,other,MORTGAGE
Charged Off,15000,110000,small_business,RENT
Charged Off,10000,68000,debt_consolidation,RENT
Charged Off,16000,51000,debt_consolidation,RENT
Charged Off,2200,48000,debt_consolidation,OWN
Charged Off,8000,51204,debt_consolidation,RENT
Charged Off,35000,85000,debt_consolidation,OWN
Charged Off,12000,75000,credit_card,RENT
Charged Off,21250,37000,other,RENT
Charged Off,15000,60000,debt_consolidation,RENT
Charged Off,4000,30000,home_improvement,RENT
Charged Off,4000,45000,home_improvement,RENT
Charged Off,1700,37800,home_improvement,MORTGAGE
Charged Off,12000,54400,debt_consolidation,RENT
Charged Off,8000,42500,debt_consolidation,RENT
Charged Off,13000,28000,debt_consolidation,RENT
Charged Off,24000,68809,debt_consolidation,RENT
Charged Off,11200,75000,major_purchase,RENT
Charged Off,12000,28000,credit_card,RENT
Charged Off,28000,118000,home_improvement,MORTGAGE
Charged Off,3000,65000,other,MORTGAGE
Charged Off,8575,32000,debt_consolidation,MORTGAGE
Charged Off,28000,84996,debt_consolidation,MORTGAGE
Charged Off,16000,49000,credit_card,MORTGAGE
